Number             Value               Error               Fluctuation
=================================================================================
  1                9.65998             0.16781             1.09836
  1                9.82722E-002        1.01853E-003        1.06046E-002
  2                0.205506            0.001997            0.020059
  3                0.291692            0.001208            0.024790
  4                0.360882            0.001886            0.028024
  5                0.416386            0.001701            0.030921
  6                0.439452            0.000567            0.031419
  7                0.420367            0.000316            0.029749
  8                0.352495            0.000866            0.025274
  9                0.244144            0.000453            0.018031
 10                0.109581            0.000508            0.008169
