Number             Value               Error               Fluctuation
=================================================================================
  1                8.31540             0.92355             0.90741
  1                1.34179             0.04006             0.09218
  1                8.34054E-002        3.81618E-003        7.77677E-003
  2                0.196695            0.004206            0.016096
  3                0.258047            0.015131            0.025244
  4                0.331584            0.006599            0.028248
  5                0.383307            0.019669            0.030505
  6                0.405420            0.016741            0.028546
  7                0.386597            0.005508            0.031348
  8                0.328774            0.006214            0.022724
  9                0.224394            0.001685            0.016121
 10                0.102995            0.003503            0.007163
  1                8.31540             0.92355             0.90741
  1                1.34179             0.04006             0.09218
  1                8.34054E-002        3.81618E-003        7.77677E-003
  2                0.196695            0.004206            0.016096
  3                0.258047            0.015131            0.025244
  4                0.331584            0.006599            0.028248
  5                0.383307            0.019669            0.030505
  6                0.405420            0.016741            0.028546
  7                0.386597            0.005508            0.031348
  8                0.328774            0.006214            0.022724
  9                0.224394            0.001685            0.016121
 10                0.102995            0.003503            0.007163
