Number             Value               Error               Fluctuation
=================================================================================
  1                -0.555329           0.005111            0.028494
  2                -1.42145            0.00167             0.03780
  3                -2.25860            0.00181             0.03634
  4                -2.91365            0.00054             0.03177
  5                -3.29751            0.00130             0.02771
  6                -3.36519            0.00087             0.02284
  7                -3.10881            0.00045             0.01787
  8                -2.55211            0.00019             0.01303
  9                -1.75106            0.00046             0.00828
 10                -0.783399           0.000095            0.003577
